Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price,Journey_Date,Journey_Day,Journey_Month,Journey_Weekday,Duration_min,Total_Stops_num,Dep_Hour,Arr_Hour
GoAir,6/03/2019,Delhi,Cochin,DEL → BOM → COK,14:10,19:20,5h 10m,1 stop,No info,19495,2019-03-06,6,3,2,310,1,14,19
Air India,21/03/2019,Banglore,New Delhi,BLR → COK → DEL,22:00,13:20 19 Mar,15h 20m,1 stop,No info,6955,2019-03-21,21,3,3,920,1,22,13
IndiGo,3/04/2019,Banglore,Delhi,BLR → DEL,04:00,06:50,2h 50m,non-stop,No info,3943,2019-04-03,3,4,2,170,0,4,6
IndiGo,1/05/2019,Banglore,Delhi,BLR → DEL,18:55,21:50,2h 55m,non-stop,No info,4823,2019-05-01,1,5,2,175,0,18,21
Jet Airways,6/05/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,08:15 07 May,13h 20m,1 stop,In-flight meal not included,7757,2019-05-06,6,5,0,800,1,18,8
Jet Airways,9/06/2019,Delhi,Cochin,DEL → IDR → BOM → COK,21:25,12:35 10 Jun,15h 10m,2 stops,No info,13292,2019-06-09,9,6,6,910,2,21,12
IndiGo,1/06/2019,Delhi,Cochin,DEL → LKO → COK,21:50,03:35 02 Jun,5h 45m,1 stop,No info,8238,2019-06-01,1,6,5,345,1,21,3
GoAir,15/05/2019,Delhi,Cochin,DEL → BOM → COK,07:00,12:55,5h 55m,1 stop,No info,7682,2019-05-15,15,5,2,355,1,7,12
Vistara,18/06/2019,Banglore,Delhi,BLR → DEL,09:45,12:35,2h 50m,non-stop,No info,4668,2019-06-18,18,6,1,170,0,9,12
Vistara,15/06/2019,Chennai,Kolkata,MAA → CCU,07:05,09:20,2h 15m,non-stop,No info,3687,2019-06-15,15,6,5,135,0,7,9
Vistara,18/06/2019,Chennai,Kolkata,MAA → CCU,07:05,09:20,2h 15m,non-stop,No info,3687,2019-06-18,18,6,1,135,0,7,9
Air India,1/05/2019,Kolkata,Banglore,CCU → GAU → DEL → BLR,09:50,23:15,13h 25m,2 stops,No info,13227,2019-05-01,1,5,2,805,2,9,23
IndiGo,6/04/2019,Banglore,Delhi,BLR → DEL,04:00,06:50,2h 50m,non-stop,No info,4423,2019-04-06,6,4,5,170,0,4,6
Jet Airways,15/06/2019,Delhi,Cochin,DEL → NAG → BOM → COK,14:35,12:35 16 Jun,22h,2 stops,In-flight meal not included,10919,2019-06-15,15,6,5,1320,2,14,12
Jet Airways,18/05/2019,Delhi,Cochin,DEL → BOM → COK,07:05,12:35,5h 30m,1 stop,In-flight meal not included,12373,2019-05-18,18,5,5,330,1,7,12
IndiGo,27/06/2019,Delhi,Cochin,DEL → BOM → COK,10:35,21:00,10h 25m,1 stop,No info,5894,2019-06-27,27,6,3,625,1,10,21
SpiceJet,21/05/2019,Kolkata,Banglore,CCU → MAA → BLR,15:05,20:20,5h 15m,1 stop,No info,4649,2019-05-21,21,5,1,315,1,15,20
Air India,18/05/2019,Kolkata,Banglore,CCU → BLR,14:15,16:45,2h 30m,non-stop,No info,6245,2019-05-18,18,5,5,150,0,14,16
Jet Airways,06/03/2019,Banglore,New Delhi,BLR → BOM → DEL,07:00,13:15,6h 15m,1 stop,No info,19225,2019-03-06,6,3,2,375,1,7,13
Jet Airways,3/06/2019,Delhi,Cochin,DEL → BOM → COK,07:05,19:00,11h 55m,1 stop,No info,14924,2019-06-03,3,6,0,715,1,7,19
Multiple carriers,21/05/2019,Delhi,Cochin,DEL → HYD → COK,07:05,18:10,11h 5m,1 stop,No info,9646,2019-05-21,21,5,1,665,1,7,18
Air India,15/03/2019,Banglore,New Delhi,BLR → BOM → DEL,06:45,15:15,8h 30m,1 stop,No info,8714,2019-03-15,15,3,4,510,1,6,15
Jet Airways,18/05/2019,Delhi,Cochin,DEL → BOM → COK,20:55,19:00 19 May,22h 5m,1 stop,In-flight meal not included,12373,2019-05-18,18,5,5,1325,1,20,19
Air Asia,6/05/2019,Banglore,Delhi,BLR → DEL,11:10,13:55,2h 45m,non-stop,No info,3383,2019-05-06,6,5,0,165,0,11,13
Multiple carriers,21/03/2019,Delhi,Cochin,DEL → BOM → COK,09:00,21:00,12h,1 stop,No info,13062,2019-03-21,21,3,3,720,1,9,21
SpiceJet,24/03/2019,Banglore,New Delhi,BLR → DEL,05:45,08:35,2h 50m,non-stop,No check-in baggage included,3527,2019-03-24,24,3,6,170,0,5,8
IndiGo,27/05/2019,Banglore,Delhi,BLR → DEL,04:00,06:50,2h 50m,non-stop,No info,3943,2019-05-27,27,5,0,170,0,4,6
Air India,3/05/2019,Chennai,Kolkata,MAA → CCU,11:40,13:55,2h 15m,non-stop,No info,4667,2019-05-03,3,5,4,135,0,11,13
Air India,15/05/2019,Kolkata,Banglore,CCU → HYD → BLR,19:00,11:05 16 May,16h 5m,1 stop,No info,6117,2019-05-15,15,5,2,965,1,19,11
Jet Airways,27/06/2019,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,19:00 28 Jun,19h 55m,2 stops,In-flight meal not included,11150,2019-06-27,27,6,3,1195,2,23,19
Jet Airways,9/03/2019,Delhi,Cochin,DEL → COK,11:00,14:15,3h 15m,non-stop,In-flight meal not included,7202,2019-03-09,9,3,5,195,0,11,14
Jet Airways,1/05/2019,Kolkata,Banglore,CCU → DEL → BLR,09:35,10:55 02 May,25h 20m,1 stop,No info,12121,2019-05-01,1,5,2,1520,1,9,10
IndiGo,24/03/2019,Banglore,New Delhi,BLR → DEL,22:20,01:10 28 Mar,2h 50m,non-stop,No info,4377,2019-03-24,24,3,6,170,0,22,1
IndiGo,18/06/2019,Banglore,Delhi,BLR → DEL,21:15,00:15 19 Jun,3h,non-stop,No info,3943,2019-06-18,18,6,1,180,0,21,0
Air Asia,3/04/2019,Banglore,Delhi,BLR → DEL,23:55,02:45 04 Apr,2h 50m,non-stop,No info,4483,2019-04-03,3,4,2,170,0,23,2
Jet Airways,24/03/2019,Kolkata,Banglore,CCU → BOM → BLR,19:45,12:00 25 Mar,16h 15m,1 stop,No info,14231,2019-03-24,24,3,6,975,1,19,12
Air India,01/03/2019,Banglore,New Delhi,BLR → BOM → AMD → DEL,08:50,23:55,15h 5m,2 stops,No info,17345,2019-03-01,1,3,4,905,2,8,23
Vistara,6/03/2019,Chennai,Kolkata,MAA → CCU,07:05,09:20,2h 15m,non-stop,No info,7414,2019-03-06,6,3,2,135,0,7,9
Multiple carriers,6/05/2019,Delhi,Cochin,DEL → BOM → COK,19:00,01:30 07 May,6h 30m,1 stop,No info,8073,2019-05-06,6,5,0,390,1,19,1
Vistara,6/03/2019,Mumbai,Hyderabad,BOM → DEL → HYD,15:40,16:45 07 Mar,25h 5m,1 stop,No info,12395,2019-03-06,6,3,2,1505,1,15,16
Air India,6/06/2019,Kolkata,Banglore,CCU → BOM → BLR,09:25,21:50,12h 25m,1 stop,No info,8366,2019-06-06,6,6,3,745,1,9,21
Air India,3/04/2019,Delhi,Cochin,DEL → MAA → COK,06:05,09:25 04 Apr,27h 20m,1 stop,No info,5117,2019-04-03,3,4,2,1640,1,6,9
Multiple carriers,3/06/2019,Delhi,Cochin,DEL → BOM → COK,08:45,19:00,10h 15m,1 stop,No info,12524,2019-06-03,3,6,0,615,1,8,19
IndiGo,15/05/2019,Delhi,Cochin,DEL → BOM → COK,15:00,01:30 16 May,10h 30m,1 stop,No info,7191,2019-05-15,15,5,2,630,1,15,1
Vistara,24/05/2019,Chennai,Kolkata,MAA → CCU,07:05,09:20,2h 15m,non-stop,No info,3687,2019-05-24,24,5,4,135,0,7,9
IndiGo,24/06/2019,Delhi,Cochin,DEL → BOM → COK,10:35,21:00,10h 25m,1 stop,No info,5894,2019-06-24,24,6,0,625,1,10,21
Vistara,24/04/2019,Banglore,Delhi,BLR → DEL,09:45,12:35,2h 50m,non-stop,No info,5403,2019-04-24,24,4,2,170,0,9,12
Air India,6/05/2019,Mumbai,Hyderabad,BOM → HYD,13:55,15:25,1h 30m,non-stop,No info,3625,2019-05-06,6,5,0,90,0,13,15
Air India,21/05/2019,Delhi,Cochin,DEL → BHO → BOM → COK,05:55,19:15,13h 20m,2 stops,No info,10861,2019-05-21,21,5,1,800,2,5,19
IndiGo,12/03/2019,Chennai,Kolkata,MAA → CCU,13:20,15:35,2h 15m,non-stop,No info,6297,2019-03-12,12,3,1,135,0,13,15
Jet Airways,1/06/2019,Mumbai,Hyderabad,BOM → HYD,07:05,08:30,1h 25m,non-stop,No info,5678,2019-06-01,1,6,5,85,0,7,8
Jet Airways,09/03/2019,Banglore,New Delhi,BLR → BOM → DEL,05:45,08:15 13 Mar,26h 30m,1 stop,In-flight meal not included,9134,2019-03-09,9,3,5,1590,1,5,8
Multiple carriers,24/06/2019,Delhi,Cochin,DEL → BOM → COK,11:40,19:00,7h 20m,1 stop,In-flight meal not included,10791,2019-06-24,24,6,0,440,1,11,19
Jet Airways,24/06/2019,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,12:35 25 Jun,13h 30m,2 stops,No info,12819,2019-06-24,24,6,0,810,2,23,12
IndiGo,21/03/2019,Delhi,Cochin,DEL → BLR → COK,05:05,10:05,5h,1 stop,No info,6893,2019-03-21,21,3,3,300,1,5,10
Vistara,09/03/2019,Banglore,New Delhi,BLR → DEL,09:50,12:35,2h 45m,non-stop,No info,7240,2019-03-09,9,3,5,165,0,9,12
GoAir,3/04/2019,Banglore,Delhi,BLR → DEL,11:40,14:30,2h 50m,non-stop,No info,3898,2019-04-03,3,4,2,170,0,11,14
IndiGo,3/04/2019,Mumbai,Hyderabad,BOM → HYD,06:25,07:55,1h 30m,non-stop,No info,4049,2019-04-03,3,4,2,90,0,6,7
Jet Airways,15/06/2019,Delhi,Cochin,DEL → BOM → COK,17:30,12:35 16 Jun,19h 5m,1 stop,In-flight meal not included,10262,2019-06-15,15,6,5,1145,1,17,12
SpiceJet,21/03/2019,Chennai,Kolkata,MAA → CCU,08:20,10:35,2h 15m,non-stop,No check-in baggage included,3332,2019-03-21,21,3,3,135,0,8,10
Jet Airways,9/06/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,12:00 10 Jun,14h 50m,1 stop,In-flight meal not included,10844,2019-06-09,9,6,6,890,1,21,12
Jet Airways,24/03/2019,Banglore,New Delhi,BLR → DEL,19:55,22:35,2h 40m,non-stop,No info,7229,2019-03-24,24,3,6,160,0,19,22
Jet Airways,6/05/2019,Kolkata,Banglore,CCU → BOM → BLR,06:30,04:40 07 May,22h 10m,1 stop,No info,13941,2019-05-06,6,5,0,1330,1,6,4
IndiGo,27/06/2019,Delhi,Cochin,DEL → BOM → COK,11:25,21:00,9h 35m,1 stop,No info,5894,2019-06-27,27,6,3,575,1,11,21
Multiple carriers,18/05/2019,Delhi,Cochin,DEL → BOM → COK,09:00,19:00,10h,1 stop,No info,10197,2019-05-18,18,5,5,600,1,9,19
Jet Airways,06/03/2019,Banglore,New Delhi,BLR → BOM → DEL,14:05,11:25 07 Mar,21h 20m,1 stop,In-flight meal not included,13712,2019-03-06,6,3,2,1280,1,14,11
IndiGo,24/06/2019,Delhi,Cochin,DEL → MAA → COK,02:00,07:25,5h 25m,1 stop,No info,5636,2019-06-24,24,6,0,325,1,2,7
Jet Airways,6/06/2019,Delhi,Cochin,DEL → JAI → BOM → COK,09:40,04:25 07 Jun,18h 45m,2 stops,No info,13014,2019-06-06,6,6,3,1125,2,9,4
Jet Airways,1/04/2019,Kolkata,Banglore,CCU → BOM → BLR,08:25,20:45,12h 20m,1 stop,In-flight meal not included,7064,2019-04-01,1,4,0,740,1,8,20
Jet Airways,24/05/2019,Kolkata,Banglore,CCU → DEL → BLR,20:25,14:25 25 May,18h,1 stop,In-flight meal not included,10703,2019-05-24,24,5,4,1080,1,20,14
Multiple carriers,27/05/2019,Delhi,Cochin,DEL → HYD → COK,13:15,22:30,9h 15m,1 stop,No info,9646,2019-05-27,27,5,0,555,1,13,22
Multiple carriers,6/03/2019,Delhi,Cochin,DEL → BOM → COK,02:15,13:20,11h 5m,1 stop,No info,17057,2019-03-06,6,3,2,665,1,2,13
Jet Airways,12/03/2019,Banglore,New Delhi,BLR → BOM → DEL,16:55,10:25 13 Mar,17h 30m,1 stop,No info,13817,2019-03-12,12,3,1,1050,1,16,10
Air India,6/03/2019,Delhi,Cochin,DEL → BHO → BOM → COK,05:55,19:15,13h 20m,2 stops,No info,13748,2019-03-06,6,3,2,800,2,5,19
Air India,21/04/2019,Kolkata,Banglore,CCU → BLR,20:45,23:20,2h 35m,non-stop,No info,4880,2019-04-21,21,4,6,155,0,20,23
IndiGo,21/06/2019,Chennai,Kolkata,MAA → CCU,05:15,07:40,2h 25m,non-stop,No info,3540,2019-06-21,21,6,4,145,0,5,7
SpiceJet,15/05/2019,Banglore,Delhi,BLR → DEL,05:55,08:35,2h 40m,non-stop,No check-in baggage included,3257,2019-05-15,15,5,2,160,0,5,8
Jet Airways,3/06/2019,Banglore,Delhi,BLR → DEL,19:50,22:50,3h,non-stop,In-flight meal not included,6478,2019-06-03,3,6,0,180,0,19,22
Jet Airways,18/06/2019,Mumbai,Hyderabad,BOM → HYD,07:05,08:30,1h 25m,non-stop,No info,8040,2019-06-18,18,6,1,85,0,7,8
Jet Airways,12/06/2019,Delhi,Cochin,DEL → ATQ → BOM → COK,20:00,12:35 13 Jun,16h 35m,2 stops,No info,14300,2019-06-12,12,6,2,995,2,20,12
Jet Airways,15/05/2019,Kolkata,Banglore,CCU → BOM → BLR,08:25,20:45,12h 20m,1 stop,No info,14781,2019-05-15,15,5,2,740,1,8,20
Jet Airways,9/06/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,08:15 10 Jun,12h 15m,1 stop,No info,14939,2019-06-09,9,6,6,735,1,20,8
Jet Airways,24/06/2019,Delhi,Cochin,DEL → BOM → COK,20:55,04:25 25 Jun,7h 30m,1 stop,In-flight meal not included,10262,2019-06-24,24,6,0,450,1,20,4
Air India,12/05/2019,Kolkata,Banglore,CCU → MAA → BLR,14:35,14:35 13 May,24h,1 stop,No info,6528,2019-05-12,12,5,6,1440,1,14,14
Air India,1/05/2019,Banglore,Delhi,BLR → DEL,06:10,08:55,2h 45m,non-stop,No info,6121,2019-05-01,1,5,2,165,0,6,8
Jet Airways,18/05/2019,Delhi,Cochin,DEL → JAI → BOM → COK,19:30,04:25 19 May,8h 55m,2 stops,In-flight meal not included,13029,2019-05-18,18,5,5,535,2,19,4
Multiple carriers,27/03/2019,Delhi,Cochin,DEL → BOM → COK,11:40,18:50,7h 10m,1 stop,No info,11421,2019-03-27,27,3,2,430,1,11,18
Multiple carriers,27/03/2019,Delhi,Cochin,DEL → BOM → COK,04:45,19:15,14h 30m,1 stop,No info,7574,2019-03-27,27,3,2,870,1,4,19
Air India,9/05/2019,Delhi,Cochin,DEL → JDH → BOM → COK,12:55,19:15 10 May,30h 20m,2 stops,No info,11596,2019-05-09,9,5,3,1820,2,12,19
Jet Airways,24/05/2019,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,19:00 25 May,19h 55m,2 stops,No info,15129,2019-05-24,24,5,4,1195,2,23,19
Jet Airways,18/03/2019,Banglore,New Delhi,BLR → BOM → DEL,14:05,05:05 16 Mar,15h,1 stop,No info,13555,2019-03-18,18,3,0,900,1,14,5
IndiGo,12/04/2019,Banglore,Delhi,BLR → DEL,18:55,21:50,2h 55m,non-stop,No info,5780,2019-04-12,12,4,4,175,0,18,21
Vistara,12/05/2019,Kolkata,Banglore,CCU → DEL → BLR,20:20,09:05 13 May,12h 45m,1 stop,No info,9397,2019-05-12,12,5,6,765,1,20,9
Jet Airways,6/03/2019,Delhi,Cochin,DEL → BOM → COK,18:15,04:25 07 Mar,10h 10m,1 stop,No info,17024,2019-03-06,6,3,2,610,1,18,4
GoAir,27/06/2019,Delhi,Cochin,DEL → BOM → COK,07:00,12:55,5h 55m,1 stop,No info,5281,2019-06-27,27,6,3,355,1,7,12
Multiple carriers,18/05/2019,Delhi,Cochin,DEL → HYD → COK,07:05,22:30,15h 25m,1 stop,No info,10348,2019-05-18,18,5,5,925,1,7,22
Air India,6/03/2019,Delhi,Cochin,DEL → MAA → COK,17:20,09:25 07 Mar,16h 5m,1 stop,No info,12677,2019-03-06,6,3,2,965,1,17,9
Multiple carriers,3/03/2019,Delhi,Cochin,DEL → BOM → COK,15:25,01:35 04 Mar,10h 10m,1 stop,No info,15147,2019-03-03,3,3,6,610,1,15,1
Vistara,12/06/2019,Banglore,Delhi,BLR → DEL,07:00,09:40,2h 40m,non-stop,No info,4668,2019-06-12,12,6,2,160,0,7,9
Jet Airways,9/05/2019,Delhi,Cochin,DEL → BOM → COK,07:05,19:00,11h 55m,1 stop,No info,15554,2019-05-09,9,5,3,715,1,7,19
SpiceJet,9/04/2019,Banglore,Delhi,BLR → DEL,05:55,08:35,2h 40m,non-stop,No info,3971,2019-04-09,9,4,1,160,0,5,8
Air India,3/05/2019,Mumbai,Hyderabad,BOM → HYD,15:00,16:25,1h 25m,non-stop,No info,3100,2019-05-03,3,5,4,85,0,15,16
Jet Airways,6/05/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,10:05 07 May,14h 5m,1 stop,In-flight meal not included,9663,2019-05-06,6,5,0,845,1,20,10
Air India,1/03/2019,Delhi,Cochin,DEL → BOM → COK,23:00,19:15 02 Mar,20h 15m,1 stop,No info,27430,2019-03-01,1,3,4,1215,1,23,19
IndiGo,12/05/2019,Chennai,Kolkata,MAA → CCU,05:15,07:40,2h 25m,non-stop,No info,3540,2019-05-12,12,5,6,145,0,5,7
Air India,21/05/2019,Kolkata,Banglore,CCU → BBI → BOM → BLR,12:00,11:10 22 May,23h 10m,2 stops,No info,10676,2019-05-21,21,5,1,1390,2,12,11
Jet Airways,12/06/2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,08:15 13 Jun,18h 10m,1 stop,No info,13044,2019-06-12,12,6,2,1090,1,14,8
Jet Airways,6/05/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,12:00 07 May,16h,1 stop,No info,14388,2019-05-06,6,5,0,960,1,20,12
IndiGo,24/06/2019,Banglore,Delhi,BLR → DEL,04:00,06:50,2h 50m,non-stop,No info,3943,2019-06-24,24,6,0,170,0,4,6
IndiGo,3/06/2019,Chennai,Kolkata,MAA → CCU,14:45,17:05,2h 20m,non-stop,No info,3597,2019-06-03,3,6,0,140,0,14,17
Air India,21/03/2019,Banglore,New Delhi,BLR → MAA → DEL,11:50,19:50,8h,1 stop,No info,5932,2019-03-21,21,3,3,480,1,11,19
Jet Airways,15/06/2019,Delhi,Cochin,DEL → BOM → COK,11:30,04:25 16 Jun,16h 55m,1 stop,In-flight meal not included,10262,2019-06-15,15,6,5,1015,1,11,4
Vistara,12/05/2019,Delhi,Cochin,DEL → COK,14:40,17:50,3h 10m,non-stop,No info,6216,2019-05-12,12,5,6,190,0,14,17
IndiGo,15/06/2019,Kolkata,Banglore,CCU → BLR,20:25,23:10,2h 45m,non-stop,No info,4804,2019-06-15,15,6,5,165,0,20,23
Multiple carriers,21/05/2019,Delhi,Cochin,DEL → BOM → COK,11:30,01:30 22 May,14h,1 stop,No info,14067,2019-05-21,21,5,1,840,1,11,1
Jet Airways,18/05/2019,Delhi,Cochin,DEL → AMD → BOM → COK,19:10,19:00 19 May,23h 50m,2 stops,No info,15129,2019-05-18,18,5,5,1430,2,19,19
Jet Airways,6/06/2019,Delhi,Cochin,DEL → NAG → BOM → COK,06:45,04:25 07 Jun,21h 40m,2 stops,No info,13376,2019-06-06,6,6,3,1300,2,6,4
Air India,27/06/2019,Delhi,Cochin,DEL → GOI → BOM → COK,22:00,19:15 28 Jun,21h 15m,2 stops,No info,10441,2019-06-27,27,6,3,1275,2,22,19
Jet Airways,24/05/2019,Banglore,Delhi,BLR → DEL,06:00,08:45,2h 45m,non-stop,In-flight meal not included,4030,2019-05-24,24,5,4,165,0,6,8
Jet Airways,3/03/2019,Delhi,Cochin,DEL → BOM → COK,08:00,18:50,10h 50m,1 stop,No info,17024,2019-03-03,3,3,6,650,1,8,18
Multiple carriers,9/04/2019,Delhi,Cochin,DEL → BOM → COK,17:30,01:30 10 Apr,8h,1 stop,No info,13017,2019-04-09,9,4,1,480,1,17,1
GoAir,6/06/2019,Kolkata,Banglore,CCU → BOM → BLR,23:30,07:45 07 Jun,8h 15m,1 stop,No info,6686,2019-06-06,6,6,3,495,1,23,7
IndiGo,15/06/2019,Delhi,Cochin,DEL → MAA → COK,02:00,07:25,5h 25m,1 stop,No info,5636,2019-06-15,15,6,5,325,1,2,7
IndiGo,9/06/2019,Delhi,Cochin,DEL → HYD → COK,07:35,16:10,8h 35m,1 stop,No info,6442,2019-06-09,9,6,6,515,1,7,16
Multiple carriers,21/05/2019,Delhi,Cochin,DEL → HYD → COK,13:05,00:55 22 May,11h 50m,1 stop,No info,9486,2019-05-21,21,5,1,710,1,13,0
Jet Airways,21/05/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,23:35 22 May,27h 35m,1 stop,In-flight meal not included,10844,2019-05-21,21,5,1,1655,1,20,23
Jet Airways,3/06/2019,Delhi,Cochin,DEL → ATQ → BOM → COK,20:00,04:25 04 Jun,8h 25m,2 stops,In-flight meal not included,15318,2019-06-03,3,6,0,505,2,20,4
Air India,3/04/2019,Delhi,Cochin,DEL → MAA → COK,12:30,09:25 04 Apr,20h 55m,1 stop,No info,5117,2019-04-03,3,4,2,1255,1,12,9
IndiGo,24/06/2019,Delhi,Cochin,DEL → BLR → COK,15:10,20:00,4h 50m,1 stop,No info,6147,2019-06-24,24,6,0,290,1,15,20
Multiple carriers,9/06/2019,Delhi,Cochin,DEL → BOM → COK,12:50,21:00,8h 10m,1 stop,No info,7005,2019-06-09,9,6,6,490,1,12,21
SpiceJet,3/04/2019,Kolkata,Banglore,CCU → BLR,22:20,00:40 04 Apr,2h 20m,non-stop,No info,3873,2019-04-03,3,4,2,140,0,22,0
Jet Airways,21/03/2019,Delhi,Cochin,DEL → BDQ → BOM → COK,18:25,18:50 22 Mar,24h 25m,2 stops,In-flight meal not included,9270,2019-03-21,21,3,3,1465,2,18,18
GoAir,27/06/2019,Banglore,Delhi,BLR → DEL,11:40,14:30,2h 50m,non-stop,No info,3898,2019-06-27,27,6,3,170,0,11,14
Jet Airways,12/05/2019,Kolkata,Banglore,CCU → BOM → BLR,08:25,20:45,12h 20m,1 stop,No info,14781,2019-05-12,12,5,6,740,1,8,20
Jet Airways,24/05/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,08:15 25 May,12h 15m,1 stop,In-flight meal not included,8586,2019-05-24,24,5,4,735,1,20,8
Air India,9/05/2019,Kolkata,Banglore,CCU → JAI → BOM → BLR,08:20,07:55 10 May,23h 35m,2 stops,No info,10697,2019-05-09,9,5,3,1415,2,8,7
Jet Airways,27/06/2019,Delhi,Cochin,DEL → ATQ → BOM → COK,20:00,12:35 28 Jun,16h 35m,2 stops,No info,14300,2019-06-27,27,6,3,995,2,20,12
IndiGo,03/03/2019,Banglore,New Delhi,BLR → DEL,18:55,21:45,2h 50m,non-stop,No info,8855,2019-03-03,3,3,6,170,0,18,21
Jet Airways,12/05/2019,Kolkata,Banglore,CCU → BOM → BLR,16:30,18:15 13 May,25h 45m,1 stop,In-flight meal not included,10844,2019-05-12,12,5,6,1545,1,16,18
Jet Airways,6/03/2019,Delhi,Cochin,DEL → BOM → COK,02:15,04:25 07 Mar,26h 10m,1 stop,No info,17024,2019-03-06,6,3,2,1570,1,2,4
Jet Airways,1/05/2019,Kolkata,Banglore,CCU → DEL → BLR,09:35,14:25 02 May,28h 50m,1 stop,In-flight meal not included,9314,2019-05-01,1,5,2,1730,1,9,14
IndiGo,24/03/2019,Banglore,New Delhi,BLR → DEL,00:40,03:25,2h 45m,non-stop,No info,4777,2019-03-24,24,3,6,165,0,0,3
Air India,9/06/2019,Kolkata,Banglore,CCU → BBI → BLR,12:00,13:15 10 Jun,25h 15m,1 stop,No info,7662,2019-06-09,9,6,6,1515,1,12,13
